clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-107,2026-07-03,5,9107804687;9107973687;9108053344;9108075523;9107996397,6,10,40.0,4,5,8,37.5,10,Adajan;Bharuch;Ghod Dod,(none);4,(none);2026-07-03
W2-108,2026-07-14,5,9108248837;9108260124;9108196446;9108280808;9108254490,14,18,22.2,4,10,13,23.1,19,(unknown);Adajan;Kamrej;Navsari,(none);1;4,(none);2026-07-14
W2-109,2026-07-14,5,9108012457;9108012456;9108253143;9108094477;9108254488,9,18,50.0,4,9,17,47.1,18,Adajan;Ghod Dod;Varachha,1;2,2026-07-14
W2-110,2026-07-24,5,9108501811;9108501807;9108501802;9108471756;9108501804,7,11,36.4,4,4,7,42.9,11,Adajan;Ghod Dod;Varachha,1,2026-07-24
W2-111,2026-07-24,5,9108492928;9108492927;9108492926;9108492924;9108492925,1,5,80.0,4,1,4,75.0,5,No Route,(none),(none)
W2-112,2026-07-24,5,9108456157;9108454480;9108417431;9108356687;9108444243,1,5,80.0,4,1,4,75.0,5,Adajan,(none),(none)
W2-113,2026-07-11,5,9108194153;9108194152;9108194151;9108194150;9108194149,1,5,80.0,4,1,4,75.0,5,Adajan,(none),(none)
W2-114,2026-07-11,5,9108169588;9108169586;9108169952;9108171691;9108171692,1,5,80.0,4,1,4,75.0,5,Adajan,(none),(none)
W2-115,2026-07-29,5,9108577924;9108585440;9108588405;9108588404;9108450266,9,13,30.8,4,9,12,25.0,14,Adajan;Ghod Dod,1;2;3,2026-07-29
W2-116,2026-08-05,5,9108581870;9108668591;9108668590;9108695095;9108734211,1,5,80.0,4,1,4,75.0,5,Adajan;Udhana;Varachha,(none);1;3,(none);2026-08-05;2026-08-06
W2-117,2026-06-19,5,9107630144;9107630153;9107708563;9107764243;9107711660,16,20,20.0,4,16,19,15.8,20,Adajan;Ghod Dod;Varachha,(none),(none)
W2-118,2026-06-17,5,9107680576;9107728713;9107720910;9107730412;9107602193,9,13,30.8,4,9,12,25.0,14,Adajan;Ghod Dod;Navsari,(none),(none)
