category,product,baseColour,sku_count,example_description
PU,PU ENAMEL,SMOKE GREY,4,DN PU ENAMEL SMOKE GREY 1L
PUTTY,ACRYLIC PUTTY,,3,DN ACRYLIC PUTTY_PFR 1kg
SADOLIN,2KPU GLOSS,90 BASE,3,DPP-SADOLIN 2KPU GLOSS BAS90 WHT 1L
SADOLIN,2KPU GLOSS,93 BASE,2,DN SADOLIN 2KPU GLOSS 93 BASE 1L
SADOLIN,2KPU GLOSS,93 BASE CLR,1,DPP-SADOLIN 2KPU GLOSS BAS93 CLR 20L
SADOLIN,2KPU MATT,90 BASE,3,DPP-SADOLIN 2KPU MATT BAS90 WHT 1L
SADOLIN,2KPU MATT,93 BASE,3,DN SADOLIN 2KPU MATT 93 BASE 1L
SADOLIN,2KPU THINNER,,3,DN SADOLIN 2KPU THINNER 1L
SADOLIN,EPOXY 1K PRIMER,,4,DN EPOXY 1K PRIMER 1LT
SADOLIN,EPOXY INSULATOR,,2,DN SADOLIN EPOXY INSULATOR 1L
SADOLIN,EPOXY INSULATOR HARDNER,,1,DN SADOLIN EPOXY INSULATOR HARDENER 0.5L
SADOLIN,EXT CLR 2K PU GLOSS,,3,DN SADOLIN EXTERIOR CLR 2KPU GLOSS 1L
SADOLIN,EXT CLR 2K PU MATT,,3,DN SADOLIN EXTERIOR CLR 2KPU MATT 1L
SADOLIN,EXT CLR 2K PU SEALER,,3,DN SADOLIN EXTERIOR CLR 2KPU SEALER 1L
SADOLIN,INT CLR 1K PU GLOSS,,3,DN SADOLIN INT CLR 1K PU GLOSS 1L
SADOLIN,INT CLR 2K PU GLOSS,,3,DN SADOLIN INTERIOR CLR 2KPU GLOSS 1L
SADOLIN,INT CLR 2K PU MATT,,3,DN SADOLIN INTERIOR CLR 2KPU MATT 1L
SADOLIN,INT CLR 2K PU SEALER,,3,DN SADOLIN INTERIOR CLR 2KPU SEALER 1L
SADOLIN,INT CLR MELAMINE GLOSS,,3,DN SADOLIN INT CLR MELAMINE GLOSS 1L
SADOLIN,INT CLR MELAMINE MATT,,3,DN SADOLIN INT CLR MELAMINE MATT 1L
SADOLIN,INT CLR MELAMINE SEALER,,3,DN SADOLIN INT CLR MELAMINE SEALER 1L
SADOLIN,LUXURIO PU GLOSS,,2,DN SADOLIN LUXURIO PU GLOSS 1L
SADOLIN,LUXURIO PU GLOSS,90 BASE,2,DPP-SADOLIN LUXURIOPUGLOSS BAS90 WHT 1L
SADOLIN,LUXURIO PU GLOSS,93 BASE,2,DN SADOLIN LUXURIO PU GLOSS 93 BASE 1L
SADOLIN,LUXURIO PU GLOSS,BLACK,1,DN SADOLIN LUXURIO PU GLOSS BLACK 40L
SADOLIN,LUXURIO PU GLOSS,BRILLIANT WHITE,2,DN SADOLIN LUXURIO PU GLOSS WHITE 1L
SADOLIN,LUXURIO PU MATT,,3,DN SADOLIN LUXURIO PU MATT 1L
SADOLIN,LUXURIO PU MATT,90 BASE,2,DPP-SADOLIN LUXURIOPUMATT BAS90 WHT 1L
SADOLIN,LUXURIO PU MATT,93 BASE,2,DN SADOLIN LUXURIO PU MATT 93 BASE 1L
SADOLIN,LUXURIO PU MATT,BLACK,2,DN SADOLIN LUXURIO PU MATT BLACK 1L
SADOLIN,LUXURIO PU MATT,BRILLIANT WHITE,2,DN SADOLIN LUXURIO PU MATT WHITE 1L
SADOLIN,LUXURIO PU SEALER,,3,DN SADOLIN LUXURIO PU SEALER 1L
SADOLIN,LUXURIO PU SEALER,BRILLIANT WHITE,3,DN SADOLIN LUXURIO PU SEALER WHITE 1L
SADOLIN,MELAMINE THINNER,,3,DN SADOLIN MELAMINE THINNER 1L
SADOLIN,NC CLEAR LACQUER,,3,DN SADOLIN NC CLEAR LACQUER 1L
SADOLIN,NC NECOL,BLACK,1,NC NECOL BLACK 1L
SADOLIN,NC NECOL,BRILLIANT WHITE,2,NC NECOL WHITE 1L
SADOLIN,NC NECOL CLEAR,,2,NC NECOL NC CLEAR 1L
SADOLIN,NC NECOL THINNER,,3,NC NECOL  THINNER 1L
SADOLIN,NC OPAQUE FINISH,,1,DN SADOLIN NC OPAQUE FINISH 4L
SADOLIN,NC SANDING SEALER,,4,DN SADOLIN NC SANDING SEALER 1L
SADOLIN,NC WOOD THINNER,,2,DN SADOLIN NC WOOD THINNER 1L
SADOLIN,OPQ 2K PU GLOSS,BLACK,1,DN SADOLIN OPQ 2KPU GLOSS BLACK 1L
SADOLIN,OPQ 2K PU GLOSS,BRILLIANT WHITE,3,DN SADOLIN OPQ 2KPU GLOSS WHITE 1L
SADOLIN,OPQ 2K PU MATT,BRILLIANT WHITE,3,DN SADOLIN OPQ 2KPU MATT WHITE 1L
SADOLIN,OPQ 2K PU PRIMER SURFACER,BRILLIANT WHITE,3,DN SADOLIN OPQ 2KPU PRIMER SURFACER 1L
SADOLIN,PU PRIME CLEAR SEALER,,3,DN SADOLIN PU PRIME CLEAR SEALER 1L
